Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,similarity_factor
Bandeya,Arijit Singh,BollywoodSad,Dil Juunglee,,0.0
Tujhko Jo Paaya,Mohit Chauhan,BollywoodRomance,Crook,,0.0
Sukoon Mila,Arijit Singh,BollywoodRomantic,Mary Kom,,0.0
Kuch To Hua Hai,"Alka Yagnik, Shaan",BollywoodDance,Kal Ho Naa Ho,,0.0
Main Agar,Atif Aslam,BollywoodRomantic,Tubelight,,0.0
Kyon,"Papon, Sunidhi Chauhan",BollywoodRomantic,Barfi,,0.0
School Ke Din,Sonu Nigam,BollywoodDance,Always Kabhi Kabhi,,0.0
Yaadon Mein,"Cuca Roseta, Jonita Gandhi, Mohammed Irfan",BollywoodSad,Jab Harry Met Sejal,,0.0
Lost Without You,"Ami Mishra, Anushka Shahaney",BollywoodSad,Half Girlfriend,,0.0
Dhal Jaun Main,"Aakanksha Sharma, Jubin Nautiyal",BollywoodRomanticSad,Rustom,,0.0
Badass Babuaa,"Abhishek Nailwal, Neha Bhasin, Sameer Uddin",BollywoodDance,Bareilly Ki Barfi,,0.0
Sahiba Russ Gayiya,Rahat Fateh Ali Khan,BollywoodSad,Firangi,,0.0
Lakshya  Title Track,Shankar Mahadevan,BollywoodMotivationalPatriotic,Lakshya,,0.0
Jeete Hain Chal,Kavita Seth,BollywoodSad,Neerja,,0.0
Sau Dard,"Sonu Nigam, Suzanne",BollywoodSad,Jaan-E-Mann,,0.0
Tere Bina (Guru),"A.R. Rahman, Chinmaye, Murtuza Khan, Qadir Khan",BollywoodDance,Guru,,0.0
Kisi Ki Muskurahaton Se,Mukesh,BollywoodDance,Anari,,0.0
Hay Re Insaan Ki Majbooriya,Mohammed Rafi,BollywoodSad,Ghunghat,,0.0
Manchala,"Nupur Pant, Shafqat Amanat Ali",BollywoodSad,Hasee Toh Phasee,,0.0
Jaane De,Atif Aslam,Bollywood,Qarib Qarib Singlle,,0.0
Darasal,Atif Aslam,BollywoodRomantic,Raabta,,0.0
Zinda,Sunidhi Chauhan,Bollywood,Naam Shabana,,0.0
Rabba Main Toh Mar Gaya Oye,Shahid Mallya,BollywoodRomantic,Mausam,,0.0
Just Go to Hell Dil,"Amit Trivedi, Sunidhi Chauhan",BollywoodSad,Dear Zindagi,,0.0
Shukran Allah,"Salim Merchant, Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Kurbaan,,0.0
Tere Naina,"Shankar Mahadevan, Shreya Ghoshal",BollywoodRomantic,Chandni Chowk To China,,0.0
Dhanak,Monali Thakur,BollywoodDance,Dhanak,,0.0
Tay Hai,Ankit Tiwari,BollywoodSad,Rustom,,0.0
Piya O Re Piya,"Atif Aslam, Shreya Ghoshal",BollywoodRomantic,Tere Naal Love Ho Gaya,,0.0
Koi Ishaara,Armaan Malik,BollywoodRomanticSad,Force 2,,0.0
Dhoop,Shreya Ghoshal,BollywoodRomantic,Goliyon Ki Rasleela Ram-leela,,0.0
Sarphiri,"Babul Supriyo, Shreya Ghoshal",BollywoodRomantic,Laila Majnu,,0.0
Saanson Ke,K.K.,BollywoodSad,Raees,,0.0
Kaun Tujhe,Armaan Malik,BollywoodRomantic,M.S. Dhoni-The Untold Story,,0.0
Nazrein Milaana Nazrein Churaana,"Anupama Deshpande, Benny Dayal, Darshana, Naresh Iyer, Satish Chakravarthy, Swetha Bhargavee, Tanvi",BollywoodDance,Jaane Tu Ya Jaane Na,,0.0
Mangalayam,"K.K., Kunal, Shaan, Sreenivas",BollywoodDance,Saathiya,,0.0
Ala Barfi,Mohit Chauhan,BollywoodDance,Barfi,,0.0
Janib (Duet),"Arijit Singh, Sunidhi Chauhan",BollywoodRomantic,Dilliwaali Zaalim Girlfriend,,0.0
Tumhi Se,"Shreya Ghoshal, Vijay Yesudas",BollywoodRomantic,Chup Chup Ke,,0.0
Paathshaala,"Blaaze, Mohammed Aslam, Naresh Iyer",BollywoodDance,Rang De Basanti,,0.0
Aadha Ishq,"Natalie Di Luccio, Shreya Ghoshal",BollywoodRomantic,Band Baaja Baaraat,,0.0
Har Ek Friend Kamina Hota Hai,Sonu Nigam,BollywoodDance,Chashme Baddoor,,0.0
Move Your Body Now,"Akriti Kakar, Hard Kaur, Shaan, Suhail",BollywoodDance,Kismat Konnection,,0.0
Aankhon Mein Neendein,"Rahat Fateh Ali Khan, Shankar Mahadevan, Shreya Ghoshal",BollywoodRomantic,We Are Family,,0.0
Tumse Hi Tumse,"Caralisa Monteiro, Shekhar Ravjiani",BollywoodRomantic,Anjaana Anjaani,,0.0
Nachdi Phira,Meghna Mishra,BollywoodSad,Secret Superstar,,0.0
Dooriyan Hain Zaroori Bhi Hai,"Monica Dogra, Vishal Dadlani",BollywoodDance,Break Up Ke Baad,,0.0
Iktara,"Amit Trivedi, Amitabh Bhattacharya, Kavita Seth",BollywoodRomantic,Wake Up Sid,,0.0
Saddi Dilli,Millind Gaba,BollywoodDance,Dilliwaali Zaalim Girlfriend,,0.0
Joganiyan,Shruti Haasan,BollywoodRomantic,Tevar,,0.0
Meherbani (Remix),Jubin Nautiyal,BollywoodDance,The Shaukeens,,0.0
Ehsan Tera Hoga Mujh Par,Mohammed Rafi,BollywoodRomantic,Junglee,,0.0
Tera Hoke Rahoon,Arijit Singh,BollywoodRomantic,Behen Hogi Teri,,0.0
Meri Khamoshi Hai,Ishan Mitra,BollywoodSad,Pari,,0.0
Awaara,Master Saleem,BollywoodDance,7 Khoon Maaf,,0.0
Manmarziyan,"Amit Trivedi, Shilpa Rao",BollywoodRomantic,Lootera,,0.0
Janam Janam,Atif Aslam,Bollywood,Phata Poster Nikhla Hero,,0.0
Naina,"Armaan Malik, Sona Mohapatra",BollywoodRomanticSad,Khoobsurat,,0.0
Soniyo,"Neeraj Shridhar, Raju Singh, Shreya Ghoshal, Sonu Nigam",BollywoodRomantic,Raaz,,0.0
Ae Watan Ae Watan Humko Teri Qasam,Mohammed Rafi,BollywoodPatriotic,Shaheed,,0.0
Hairat,Lucky Ali,BollywoodDance,Anjaana Anjaani,,0.0
Aaankhein Milayenge Darr Se,"K. Mohan, Neha Bhasin",BollywoodDance,Neerja,,0.0
Reham Nazar Karo,Mohammed Rafi,BollywoodDevotional,Shirdi Saibaba,,0.0
